"id","label","group","value","title"
1,"CIT","College",114,"Total Students:114"
2,"Dietrich","College",166,"Total Students:166"
3,"MCS","College",144,"Total Students:144"
4,"CFA","College",80,"Total Students:80"
5,"Tepper","College",126,"Total Students:126"
6,"SCS","College",85,"Total Students:85"
7,"advertising & public relations","Industry",5,"Total Students:5"
8,"architecture","Industry",16,"Total Students:16"
9,"arts & entertainment","Industry",64,"Total Students:64"
10,"biotechnology","Industry",1,"Total Students:1"
11,"consulting","Industry",73,"Total Students:73"
12,"consumer products","Industry",26,"Total Students:26"
13,"design","Industry",12,"Total Students:12"
14,"education","Industry",53,"Total Students:53"
15,"energy","Industry",20,"Total Students:20"
16,"engineering","Industry",24,"Total Students:24"
17,"financial services","Industry",89,"Total Students:89"
18,"government","Industry",1,"Total Students:1"
19,"healthcare","Industry",17,"Total Students:17"
20,"insurance","Industry",5,"Total Students:5"
21,"legal","Industry",3,"Total Students:3"
22,"manufacturing","Industry",42,"Total Students:42"
23,"marketing/communications","Industry",11,"Total Students:11"
24,"pharmaceuticals","Industry",6,"Total Students:6"
25,"real estate","Industry",1,"Total Students:1"
26,"religious","Industry",1,"Total Students:1"
27,"research","Industry",5,"Total Students:5"
28,"retail","Industry",27,"Total Students:27"
29,"technology","Industry",207,"Total Students:207"
30,"transportation","Industry",6,"Total Students:6"
