"id","label","group","value","title"
1,"Architecture","Department",10,"Total Students:10"
2,"Art","Department",4,"Total Students:4"
3,"Biological Sciences","Department",15,"Total Students:15"
4,"Business Administration","Department",6,"Total Students:6"
5,"Chemical Engineering","Department",16,"Total Students:16"
6,"Chemistry","Department",12,"Total Students:12"
7,"Civil & Environmental Engineering","Department",12,"Total Students:12"
8,"Computer Science","Department",23,"Total Students:23"
9,"Design","Department",3,"Total Students:3"
10,"Drama","Department",1,"Total Students:1"
11,"Economics","Department",4,"Total Students:4"
12,"Electrical & Computer Engineering","Department",67,"Total Students:67"
13,"English","Department",4,"Total Students:4"
14,"H&SS Interdisciplinary","Department",6,"Total Students:6"
15,"History","Department",1,"Total Students:1"
16,"Materials Science","Department",13,"Total Students:13"
17,"Mathematical Sciences","Department",13,"Total Students:13"
18,"Mechanical Engineering","Department",68,"Total Students:68"
19,"Music","Department",7,"Total Students:7"
20,"Other","Department",1,"Total Students:1"
21,"Philosophy","Department",4,"Total Students:4"
22,"Physics","Department",18,"Total Students:18"
23,"Psychology","Department",7,"Total Students:7"
24,"SHS","Department",3,"Total Students:3"
25,"Social & Decision Sciences","Department",9,"Total Students:9"
26,"Statistics","Department",6,"Total Students:6"
27,"Argosy University","School",1,"Total Students:1"
28,"Bentley University","School",1,"Total Students:1"
29,"BPP Law School","School",1,"Total Students:1"
30,"Carnegie Mellon University","School",215,"Total Students:215"
31,"Center for Iranian Studies","School",1,"Total Students:1"
32,"Colorado University School of Medicine","School",1,"Total Students:1"
33,"Columbia University","School",3,"Total Students:3"
34,"Cornell University","School",2,"Total Students:2"
35,"Duke University","School",1,"Total Students:1"
36,"Duquesne University","School",2,"Total Students:2"
37,"George Washington","School",1,"Total Students:1"
38,"Harvard University","School",2,"Total Students:2"
39,"HEC Paris","School",1,"Total Students:1"
40,"Icahn School of Medicine at Mount Sinai","School",1,"Total Students:1"
41,"John Carroll University","School",1,"Total Students:1"
42,"Johns Hopkins University","School",2,"Total Students:2"
43,"Louisiana State University","School",2,"Total Students:2"
44,"Manhattan School of Music","School",1,"Total Students:1"
45,"Mannes College The New School for Music","School",2,"Total Students:2"
46,"Maryland Institute College of Art","School",1,"Total Students:1"
47,"Massachusetts Institute of Technology","School",3,"Total Students:3"
48,"Michigan State University","School",1,"Total Students:1"
49,"New York University","School",1,"Total Students:1"
50,"Northwestern University","School",2,"Total Students:2"
51,"NYU Law School","School",1,"Total Students:1"
52,"Ohio State University","School",4,"Total Students:4"
53,"Oregon State University","School",1,"Total Students:1"
54,"Our Lady of the Lake University","School",1,"Total Students:1"
55,"Pennsylvania State University","School",4,"Total Students:4"
56,"Purdue University","School",1,"Total Students:1"
