"year","workauthorization","country","gender","degree","college","department","major","graddate","status","employer.school","jobtitle.gradprogram","city","state.country","graddegree","useful","dateoffered","dateaccepted","jobfunction","employerindustry","numoffers","pop","lat","long","capital"
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","E","Unilife","Manufacturing Engineer","New York","PA",NA,NA,NA,NA,"Engineering: Mechanical","pharmaceuticals",NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","ExxonMobil","Assurance Engineer","Houston","TX",NA,"networking","41456","41579","Engineering Other","energy",3,2043005,29.77,-95.39,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","General Electric","Sales Engineer","Philadelphia","PA",NA,NA,NA,NA,NA,NA,NA,1439814,40.01,-75.13,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","Bechtel","Associate Engineer","Pittsburgh","PA",NA,NA,"41640","41640","Engineering Other","engineering",2,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","ExxonMobil","Flow Assurance Engineer","Pittsburgh","PA",NA,"networking",NA,NA,"Engineering Other","energy",NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","E","Accenture","Consultant","Pittsburgh","PA",NA,"tartantrak",NA,NA,"Consulting: Management/Strategy","consulting",NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","Linde","Mid-Rotation","Bethlehem","PA",NA,"TartanTRAK/job fair",NA,NA,"Engineering Other","energy",NA,74087,40.63,-75.37,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","S14","E","U.S. Navy","Nuclear Engineer","Bremerton","WA",NA,"networking","41000","41000","Engineering","education",1,45306,47.55,-122.7,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","Vitech Systems Group","Associate Solutions Analyst","New York","NY",NA,"TartanTRAK","41760","41760","Analyst Other","technology",1,8124427,40.67,-73.94,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","ExxonMobil","Engineer",NA,NA,NA,"TartanTRAK",NA,NA,"Engineering","energy",NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","Cardinal Education","Associate","San Francisco","CA",NA,NA,NA,NA,"Social Services Other","education",NA,723724,37.77,-122.45,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","E&J Gallo Winery","Assistant Distiller",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","S14","E","Kleingers","Engineer","Cincinnati","OH",NA,"Networking& Hired from summer internship","41640","41671","Engineering","engineering",4,301561,39.14,-84.51,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","E","Accenture","Systems Integration Analyst","Washington","DC",NA,"TartanTRAK",NA,NA,"Analyst: Business","consulting",NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","E","U.S. Navy","Mechanical Engineer","Philadelphia","PA",NA,"internship",NA,NA,"Engineering: Mechanical","education",NA,1439814,40.01,-75.13,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","ExxonMobil","Process Design Engineer","Washington DC",NA,NA,"hired from summer internship","41518","41579","Engineering Other","energy",1,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","S14","E","ExxonMobil","Cost Engineer","Fairfax","VA",NA,NA,"41518","41579","Engineering Other","energy",NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","Dow Chemical","Process Automation Engineer","Houston","TX",NA,"TartanTRAK & Hired from summer internship","41487","41518","Engineering Other","manufacturing",1,2043005,29.77,-95.39,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","S14","E","Mosites Construction","Project Engineer","Pittsburgh","PA",NA,NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","Dow Chemical","Production Engineer","Pittsburgh","CA",NA,"job fair","41487","41518","Engineering Other","manufacturing",1,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","S14","E","Stahl Sheaffer Engineering","Designer","Pittsburgh","PA",NA,NA,NA,NA,"Design/Construction Engineering","engineering",NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","S14","E","AECOM","Traffic Engineer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","Occidental Petroleum Corporation","Reservoir Engineer","Houston","TX",NA,"internship",NA,NA,"Engineering Other","energy",NA,2043005,29.77,-95.39,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","S14","E","Clark Construction",NA,"Washington DC",NA,NA,NA,NA,NA,NA,"manufacturing",NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","US Army Corps of Engineers","Research Scientist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","Alcoa","Process Engineer","Victoria","TX",NA,"Internship",NA,NA,"Engineering Other","manufacturing",NA,62296,28.82,-96.98,0
2014,"U.S. Citizen","Japan","Female","BS","CIT","Chemical Engineering","CHE","S14","E","BNY Mellon","Associate","New York","NY",NA,"TartanTRAK","41579","41579","Finance Other","financial services",2,8124427,40.67,-73.94,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","F13","E","Walsh Construction",NA,"Robinson Township","PA",NA,NA,NA,NA,NA,"engineering",NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S13","E","Schlumberger","Field Engineer","Midland","TX",NA,NA,NA,NA,"Field Engineering","engineering",NA,98261,32.03,-102.1,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","S14","E","Clark Construction","Office Engineer","Washington","DC",NA,"TartanTRAK","41640","41671","Engineering Other","engineering",2,NA,NA,NA,NA
