year,workauthorization,country,gender,degree,college,department,major,graddate,status,employer.school,jobtitle.gradprogram,city,state.country,graddegree,useful,dateoffered,dateaccepted,jobfunction,employerindustry,numoffers
2014,U.S. Citizen,United States,Female,BS,CIT,Mechanical Engineering,MEG,S14,E,Unilife,Manufacturing Engineer ,New York,PA,,,,,Engineering: Mechanical,pharmaceuticals,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,ExxonMobil,Assurance Engineer,Houston,TX,,networking,41456,41579,Engineering Other,energy,3
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,General Electric,Sales Engineer,Philadelphia,PA,,,,,,,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Bechtel,Associate Engineer,Pittsburgh,PA,,,41640,41640,Engineering Other,engineering,2
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,ExxonMobil,Flow Assurance Engineer,Pittsburgh,PA,,networking,,,Engineering Other,energy,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Mechanical Engineering,MEG,S14,E,Accenture,Consultant,Pittsburgh,PA,,tartantrak,,,Consulting: Management/Strategy,consulting,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Linde,Mid-Rotation,Bethlehem,PA,,TartanTRAK/job fair,,,Engineering Other,energy,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,U.S. Navy,Nuclear Engineer,Bremerton,WA,,networking,41000,41000,Engineering,education,1
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Vitech Systems Group,Associate Solutions Analyst,New York,NY,,TartanTRAK,41760,41760,Analyst Other,technology,1
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,ExxonMobil,Engineer,NA,NA,,TartanTRAK,,,Engineering,energy,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Cardinal Education,Associate,San Francisco,CA,,,,,Social Services Other,education,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,E&J Gallo Winery,Assistant Distiller,NA,NA,,,,,,,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,Kleingers,Engineer,Cincinnati,OH,,Networking& Hired from summer internship,41640,41671,Engineering,engineering,4
2014,U.S. Citizen,United States,Female,BS,CIT,Mechanical Engineering,MEG,S14,E,Accenture,Systems Integration Analyst ,Washington,DC,,TartanTRAK,,,Analyst: Business,consulting,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Mechanical Engineering,MEG,S14,E,U.S. Navy,Mechanical Engineer,Philadelphia,PA,,internship,,,Engineering: Mechanical,education,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,ExxonMobil,Process Design Engineer,Washington DC,NA,,hired from summer internship,41518,41579,Engineering Other,energy,1
2014,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,ExxonMobil,Cost Engineer,Fairfax,VA,,,41518,41579,Engineering Other,energy,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Dow Chemical,Process Automation Engineer,Houston,TX,,TartanTRAK & Hired from summer internship,41487,41518,Engineering Other,manufacturing,1
2014,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,Mosites Construction,Project Engineer,Pittsburgh,PA,,,,,,,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Dow Chemical,Production Engineer,Pittsburgh,CA,,job fair,41487,41518,Engineering Other,manufacturing,1
2014,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,Stahl Sheaffer Engineering,Designer,Pittsburgh,PA,,,,,Design/Construction Engineering,engineering,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,AECOM,Traffic Engineer,NA,NA,,,,,,,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Occidental Petroleum Corporation,Reservoir Engineer,Houston,TX,,internship,,,Engineering Other,energy,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,Clark Construction,,Washington DC,NA,,,,,,manufacturing,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,US Army Corps of Engineers,Research Scientist,NA,NA,,,,,,,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Alcoa,Process Engineer,Victoria,TX,,Internship,,,Engineering Other,manufacturing,NA
2014,U.S. Citizen,Japan,Female,BS,CIT,Chemical Engineering,CHE,S14,E,BNY Mellon,Associate,New York,NY,,TartanTRAK,41579,41579,Finance Other,financial services,2
2014,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CIV,F13,E,Walsh Construction,,Robinson Township,PA,,,,,,engineering,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S13,E,Schlumberger,Field Engineer,Midland,TX,,,,,Field Engineering,engineering,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,Clark Construction,Office Engineer,Washington,DC,,TartanTRAK,41640,41671,Engineering Other,engineering,2
2014,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,BND Engineers,Junior Engineer,Miami,FL,,,,,Engineering,engineering,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,Turner Construction,Field Engineer,New York,NY,,Networking & Hired from summer internship,41609,41640,Field Engineering,engineering,1
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Aspen Technology,,NA,NA,,,,,,technology,NA
2014,NA,United States,Female,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,Mylan Pharmaceuticals,,NA,NA,,,,,,pharmaceuticals,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Mechanical Engineering,MEG,S14,E,Microsoft,Hardware Engineer,Seattle,WA,,Job Fair,,,Engineer: Electrical/Computer,technology,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,MediaMath,Marketing Engineer,New York,NY,,,,,,,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Accenture,Business & Systems Integration Analyst,Pittsburgh,PA,,networking,,,Business Analyst,consulting,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,Schlumberger,Field Engineer,Oklahoma City,OK,,,41579,41640,Field Engineering,engineering,1
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Accenture,Consulting Analyst,Pittsburgh,PA,,TartanTRAK,,,Analyst Other,consulting,NA
