year,workauthorization,country,gender,degree,college,department,major,graddate,status,employer.school,jobtitle.gradprogram,city,state.country,graddegree,useful,dateoffered,dateaccepted,jobfunction,employerindustry,numoffers
2012,NA,United States,NA,BS,CIT,Chemical Engineering,NA,S12,E,Accenture,Systems Integration Analyst,Pittsburgh,PA,NA,TartanTRAK,NA,NA,Consulting,consulting,NA
2012,NA,United States,NA,BS,SHS,SHS,Decision Science,S12,E,Accenture,Systems Integration Analyst,New York,NY,NA,TartanTRAK,40835,40880,Consulting,consulting,1
2012,NA,United States,NA,BS,Tepper,Business Administration,NA,S12,E,Accenture,Analyst,Boston,MA,NA,Hired from Summer Internship,40787,40787,Consulting,consulting,3
2012,NA,United States,NA,BS,Dietrich,H&SS Interdisciplinary,Information Systems,F11,E,Accenture,Systems Integration Analyst,New York,NY,NA,NA,NA,NA,Consulting,consulting,NA
2012,NA,United States,NA,BS,Tepper,Business Administration,NA,S12,E,Accenture,Systems Integration Consulting Analyst,Pittsburgh,PA,NA,TartanTRAK,40848,40848,Consulting,consulting,3
2012,NA,United States,NA,BS,Tepper,Business Administration,NA,S12,E,Accenture,Corporate Development and Transaction Services Analyst,Chicago,IL,NA,Networking,40909,40940,Corporate,consulting,3
2012,NA,United States,NA,BS,Tepper,Business Administration,NA,S12,E,Accenture,Systems Integration Analyst,Pittsburgh,PA,NA,TartanTRAK,40848,40848,Consulting,consulting,2
2012,NA,Korea,NA,BS,Tepper,Business Administration,NA,S12,E,Accenture,Systems Integration Analyst,Pittsburgh,PA,NA,TartanTRAK,40848,40848,Consulting,consulting,1
2012,NA,United States,NA,BS,CIT,Chemical Engineering,NA,S12,E,Accenture,Consulting,Pittsburgh,PA,NA,TartanTRAK,NA,NA,Consulting,consulting,NA
2012,NA,United States,NA,BS,Tepper,Business Administration,NA,S12,E,Accenture,NA,NA,NA,NA,NA,NA,NA,Consulting,consulting,NA
2012,NA,United States,NA,BS,CIT,Chemical Engineering,NA,S12,E,Accenture,Analyst,Pittsburgh,PA,NA,Networking,NA,NA,Consulting,consulting,NA
2012,NA,United States,NA,BS,Dietrich,Social & Decision Sciences,Decision Science,S12,E,Accenture,Systems Integration Analyst,Pittsburgh,PA,NA,Networking,NA,NA,Consulting,consulting,NA
2012,NA,China,NA,BS,SCS,Computer Science,NA,S12,E,Amazon,Software Development Engineer,Seattle,WA,NA,NA,NA,NA,Software Development,technology,NA
2012,NA,United States,NA,BS,SCS,Computer Science,NA,S11,E,Amazon,Software Development Engineer,Seattle,WA,NA,NA,NA,NA,Software Development,technology,NA
2012,NA,United States,NA,BS,MCS,Physics,NA,S12,E,Amazon,Software Development Engineer,Seattle,WA,NA,Job Fair,40951,40980,Software Development,technology,2
2012,NA,United States,NA,BS,SCS,Computer Science,NA,S12,E,Amazon,Software Engineer,Seattle,WA,NA,NA,NA,NA,Software Development,technology,NA
2012,NA,China,NA,BS,SCS,Computer Science,NA,S12,E,Amazon,Software Engineer,Seattle,WA,NA,NA,NA,NA,Software Development,technology,NA
2012,NA,Korea,NA,BS,SCS,Computer Science,NA,S12,E,Amazon,Software Development Engineer,Seattle,WA,NA,NA,NA,NA,Software Development,technology,NA
2012,NA,United States,NA,BS,SCS,Computer Science,NA,S12,E,Amazon,Software Devlopment Engineer,Seattle,WA,NA,NA,NA,NA,Software Development,technology,NA
2012,NA,India,NA,BS,Dietrich,H&SS Interdisciplinary,Information Systems,F12,E,Amazon,Software Developer Engineer,Seattle,WA,NA,Job Fair,40843,40866,Software Development,technology,3
2012,NA,United States,NA,BS,SCS,Computer Science,NA,S12,E,Amazon,Software Engineer,Seattle,WA,NA,NA,NA,NA,Software Development,technology,NA
2012,NA,Korea,NA,BS,SCS,Computer Science,NA,S12,E,Amazon,Software Development Engineer,Seattle,WA,NA,NA,NA,NA,Software Development,technology,NA
2012,NA,NA,NA,BS,SCS,Computer Science,NA,S14,E,Amazon,Software Development Engineer,Seattle,WA,NA,NA,NA,NA,Software Development,technology,NA
2012,NA,India,NA,BS,CIT,Electrical & Computer Engineering,NA,S12,E,Amazon,Software Developer,Seattle,WA,NA,NA,NA,NA,Software Development,technology,NA
2012,NA,United States,NA,BS,CIT,Mechanical Engineering,NA,S12,E,Apple,Product Design Engineer,Cupertino,CA,NA,summer internship,40940,40943,Design/Construction,technology,NA
2012,NA,United States,NA,BS,SCS,Computer Science,NA,S12,E,Apple,Mac OS X Performance Engineer,Cupertino,CA,NA,NA,NA,NA,Software Development,technology,NA
2012,NA,United States,NA,BS,SCS,Computer Science,NA,F11,E,Apple,Mac OS X Performance Engineer,Cupertino,CA,NA,NA,NA,NA,Software Development,technology,NA
2012,NA,United States,NA,BS,Tepper,Business Administration,NA,S12,E,Apple,Software QA Engineer,Cupertino,CA,NA,NA,41061,41061,Software Development,technology,NA
2012,NA,United States,NA,BS,CFA,Design,industrial design,S12,E,Apple,UI Designer,Cupertino,CA,NA,NA,NA,NA,Design,technology,NA
2012,NA,United States,NA,BS,Dietrich,H&SS Interdisciplinary,Information Systems,S12,E,Apple,User Experience Architect,Cupertino,CA,NA,TartanTRAK,41122,41214,Business Development/Sales,technology,1
2012,NA,United States,NA,BS,CIT,Chemical Engineering,NA,S12,E,Aspen Technology,Associate Engineer,Burlignton,MA,NA,NA,NA,NA,Engineering,technology,NA
2012,NA,United States,NA,BS,CIT,Chemical Engineering,NA,S12,E,Aspen Technology,NA,Nashua,NH,NA,interoffice mailing,NA,NA,NA,technology,NA
2012,NA,United States,NA,BS,CIT,Chemical Engineering,NA,S12,E,Aspen Technology,Product Manager,Boston,MA,NA,TartanTRAK,NA,NA,Product Management,technology,NA
2012,NA,China,NA,BS,MCS,Mathematical Sciences,NA,S12,E,Bank of America,Technology Associate,New York,NY,NA,TartanTrak,41224,41224,Technical/Computer Support,financial services,1
2012,NA,United States,NA,BS,MCS,Mathematical Sciences,NA,S12,E,Bank of America,Trading Analyst,New York,NY,NA,Hired from Summer Internship,41132,41132,Sales & Trading,financial services,1
2012,NA,Japan,NA,BS,Dietrich,H&SS Interdisciplinary,Information Systems,S12,E,Bank of America,Officer,Tokyo,Japan,NA,Job Fair,40851,40865,Finance,financial services,3
2012,NA,United States,NA,BS,Tepper,Business Administration,NA,S12,E,Barclays Capital,Asian Equities Sales Analyst,New York,NY,NA,Networking,41000,41000,Sales & Trading,financial services,1
2012,NA,United States,NA,BS,Tepper,Business Administration,NA,S12,E,Barclays Capital,Investment Banking Analyst,New York,NY,NA,Hired from Summer Internship,40756,40817,Investment Banking,financial services,1
2012,NA,United States,NA,BS,Tepper,Business Administration,NA,S12,E,Barclays Capital,Investment Banking Analyst,New York,NY,NA,Hired from Summer Internship,40756,40787,Investment Banking,financial services,1
2012,NA,United States,NA,BS,CIT,Electrical & Computer Engineering,NA,S12,E,Barclays Capital,Software Analyst,New York,NY,NA,NA,NA,NA,Software Development,financial services,NA
2012,NA,China,NA,BS,CIT,Electrical & Computer Engineering,NA,S12,E,Barclays Capital,Technology Analyst,New York,NY,NA,NA,NA,NA,Technical/Computer Support,financial services,NA
2012,NA,United States,NA,BS,CIT,Electrical & Computer Engineering,NA,S12,E,Barclays Capital,Technology Analyst,New York,NY,NA,NA,NA,NA,Technical/Computer Support,financial services,NA
2012,NA,United States,NA,BS,SCS,Computer Science,NA,F11,E,BlackRock,Analyst,New York,NY,NA,NA,NA,NA,Financial Analysis,financial services,NA
2012,NA,United States,NA,BS,Tepper,Business Administration,NA,F11,E,BlackRock,Analyst,New York,NY,NA,NA,NA,NA,Financial Analysis,financial services,NA
2012,NA,Hong Kong,NA,BS,MCS,Mathematical Sciences,NA,S12,E,BlackRock,NA,San Francisco,CA,NA,NA,NA,NA,NA,financial services,NA
2012,NA,United States,NA,BS,CIT,Mechanical Engineering,NA,F11,E,Boeing,Structural Design Engineer,Seattle,WA,NA,job fair,41163,41224,Design/Construction,engineering and science,1
2012,NA,United States,NA,BS,Dietrich,H&SS Interdisciplinary,Information Systems,S12,E,Boeing,Systems and Data Analyst,Renton,WA,NA,NA,NA,NA,Computer Systems Analysis,engineering and science,NA
2012,NA,United States,NA,BS,CIT,Mechanical Engineering,NA,S12,E,Boeing,Design Engineer,Mesa,AZ,NA,NA,NA,NA,Design/Construction,engineering and science,NA
2012,NA,United States,NA,BS,Dietrich,Economics,NA,F11,E,Capital One,Business Analyst,McLean,VA,NA,TartanTRAK,40817,40817,Financial Analysis,financial services,2
2012,NA,United States,NA,BS,Dietrich,H&SS Interdisciplinary,Information Systems,S12,E,Capital One,Developer - IT Development Program,Richmond,VA,NA,TartanTRAK,40981,40988,Software Development,financial services,1
2012,NA,Taiwan,NA,BS,Dietrich,Statistics,Economics and Statistics,S12,E,Capital One,IT Development Program Associate--Business Systems Analyst,Richmond,VA,NA,TartanTRAK,40981,NA,Computer Systems Analysis,financial services,1
2012,NA,United States,NA,BS,Dietrich,H&SS Interdisciplinary,Information Systems,S12,E,Capital One,Developer,McLean,VA,NA,Job Fair,40989,40990,Software Development,financial services/insurance,4
