year,workauthorization,country,gender,degree,college,department,major,graddate,status,jobtitle.gradprogram,city,state.country,graddegree,annualsalary,useful,dateoffered,dateaccepted,jobfunction,employerindustry,numoffers
2014,U.S. Citizen,United States,Male,BS,CIT,Mechanical Engineering,MEG,F13,E,Design Engineer,Pittsburgh,PA,,63500,job fair-Pittsburgh Tech Connect,,,Engineering: Mechanical,manufacturing,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Mechanical Engineering,MEG,S14,E,Manufacturing Engineer ,New York,PA,,63000,,,,Engineering: Mechanical,pharmaceuticals,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Mechanical Engineering,MEG,S14,E,Tooling Design Engineer,Los Angeles,CA,,60000,Hired from summer internship,41487,41518,Engineering: Mechanical,manufacturing,3
2014,U.S. Citizen,United States,Male,BS,CIT,Chemical Engineering,CHE,S14,E,Associate Solutions Analyst,New York,NY,,57960,job fair,,,Analyst Other,technology,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Assurance Engineer,Houston,TX,,100000,networking,41456,41579,Engineering Other,energy,3
2014,U.S. Citizen,United States,Male,BS,CIT,Mechanical Engineering,MEG,S14,E,Product Development Engineer,Detroit,MI,,66000,Job Fair,,41609,Engineering: Mechanical,manufacturing,2
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Associate Engineer,Pittsburgh,PA,,61000,,41640,41640,Engineering Other,engineering,2
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Flow Assurance Engineer,Pittsburgh,PA,,105600,networking,,,Engineering Other,energy,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Mechanical Engineering,MEG,S14,E,Crews Training Engineer,Charleston,SC,,61000,TartanTRAK,41548,41548,Engineering: Mechanical,engineering,1
2014,U.S. Citizen,United States,Female,BS,CIT,Mechanical Engineering,MEG,S14,E,Consultant,Pittsburgh,PA,,71500,tartantrak,,,Consulting: Management/Strategy,consulting,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Mid-Rotation,Bethlehem,PA,,55200,TartanTRAK/job fair,,,Engineering Other,energy,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,Environmental Research Associate,Boston,MA,,52000,networking,41730,41760,Research,engineering,2
2014,U.S. Citizen,United States,Male,BS,CIT,Mechanical Engineering,MEG,S14,E,Mechanical Engineer,Baltimore,MD,,68400,Hired from summer internship,41487,Nov- 2-13,Engineering: Mechanical,manufacturing,1
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Associate Solutions Analyst,New York,NY,,58000,TartanTRAK,41760,41760,Analyst Other,technology,1
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Engineer,NA,NA,,98000,TartanTRAK,,,Engineering,energy,NA
2014,Permanent Resident,United States,Male,BS,CIT,Chemical Engineering,CHE,S14,E,Operations Development,Chicago,IL,,64000,Networking,,,Operations,pharmaceuticals,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,Engineer,Cincinnati,OH,,55000,Networking& Hired from summer internship,41640,41671,Engineering,engineering,4
2014,U.S. Citizen,United States,Male,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,Management Consulting and Strategy Analyst,Pittsburgh,PA,,65000,Job Fair,41334,41365,Consulting Management/Strategy,manufacturing,1
2014,U.S. Citizen,United States,Male,BS,CIT,Mechanical Engineering,MEG,S14,E,Consultant,New York,NY,,84000,TartanTRAK & Hired from summer internship,41548,41579,Consulting: Management/Strategy,consulting,3
2014,U.S. Citizen,United States,Female,BS,CIT,Mechanical Engineering,MEG,S14,E,Systems Integration Analyst ,Washington,DC,,75000,TartanTRAK,,,Analyst: Business,consulting,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Mechanical Engineering,MEG,S14,E,Mechanical Engineer,Philadelphia,PA,,54911,internship,,,Engineering: Mechanical,education,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Process Design Engineer,Washington DC,NA,,96000,hired from summer internship,41518,41579,Engineering Other,energy,1
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Process Automation Engineer,Houston,TX,,70000,TartanTRAK & Hired from summer internship,41487,41518,Engineering Other,manufacturing,1
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Production Engineer,Pittsburgh,CA,,79000,job fair,41487,41518,Engineering Other,manufacturing,1
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Reservoir Engineer,Houston,TX,,94933,internship,,,Engineering Other,energy,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Mechanical Engineering,MEG,S14,E,FCG ,Dearborn,MI,,67000,"TartanTRAK, Networking & Job Fairs",,,Engineering: Mechanical,manufacturing,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Mechanical Engineering,MEG,S14,E,Power Train Engineer,Detroit,MI,,60000,TartanTRAK,41699,41699,Engineering: Mechanical,manufacturing,2
2014,U.S. Citizen,United States,Male,BS,CIT,Mechanical Engineering,MEG,S14,E,Product Development Engineer,New York,PA,,66000,TartanTRAK,41609,41640,Engineering: Mechanical,pharmaceuticals,1
2014,U.S. Citizen,United States,Male,BS,CIT,Chemical Engineering,CHE,S14,E,Sales Engineer Intern,Windsor Locks,CT,,50000,,,,Engineering Other,energy,1
2014,U.S. Citizen,United States,Male,BS,CIT,Chemical Engineering,CHE,S14,E,Systems Integration Analyst,Washington DC,NA,,75000,TartanTRAK,,,Analyst Other,consulting,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Process Engineer,Victoria,TX,,70608,Internship,,,Engineering Other,manufacturing,NA
2014,U.S. Citizen,Japan,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Associate,New York,NY,,70000,TartanTRAK,41579,41579,Finance Other,financial services,2
2014,U.S. Citizen,United States,Male,BS,CIT,Mechanical Engineering,MEG,S14,E,Chassis Engineering Development Engineer ,Milford,MI,,69000,,,,Engineering: Mechanical,manufacturing,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Materials Science,MSE,S14,E,Research Assistant,Washington,DC,,47040,,,,Engineering: Materials,consulting,1
2014,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,Office Engineer,Washington,DC,,60000,TartanTRAK,41640,41671,Engineering Other,engineering,2
2014,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,Field Engineer,New York,NY,,57000,Networking & Hired from summer internship,41609,41640,Field Engineering,engineering,1
2014,U.S. Citizen,United States,Male,BS,CIT,Mechanical Engineering,MEG,S14,E,Front End Developer,Pittsburgh,PA,,63000,Networking & Career Consultant,,,Design: Interaction/User Interface/UX Design ,engineering,1
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Business & Systems Integration Analyst,Pittsburgh,PA,,71496,networking,,,Business Analyst,consulting,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,Field Engineer,Oklahoma City,OK,,65000,,41579,41640,Field Engineering,engineering,1
2014,U.S. Citizen,United States,Male,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,Assistant Estimator,New York,NY,,54000,TartanTRAK,,,Design/Construction Engineering,engineering,1
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Consulting Analyst,Pittsburgh,PA,,71496,TartanTRAK,,,Analyst Other,consulting,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Field Engineer,Canonsburg,PA,,53532,networking,,,Field Engineering,engineering,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,Consultant,New York,NY,,71000,Networking,41730,41760,Consulting Management/Strategy,consulting,5
2014,Non-US Citizen,India,Male,BS,CIT,Mechanical Engineering,MEG,S14,E,Staff,New York,NY,,70000,Networking,41548,41579,Management: Human Resources,consulting,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Mechanical Engineering,MEG,S14,E,Customer Support Engineer,Long Beach,CA,,75000,Networking,,,Engineering: Project Engineering,manufacturing,1
2014,U.S. Citizen,United States,Male,BS,CIT,Civil & Environmental Engineering,CIV,F13,E,Group Manager,NA,NA,,69000,Networking,41518,41548,Engineering Other,consumer products,1
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Sales Engineer,Fairfax,VA,,100000,job fair,41579,41579,Engineering Other,energy,4
2014,U.S. Citizen,United States,Male,BS,CIT,Chemical Engineering,CHE,S14,E,Analyst,Houston,TX,MS,96996,internship,,,Analyst Other,energy,NA
2014,Non-US Citizen,India,Male,BS,CIT,Mechanical Engineering,MEG,S14,E,Analyst,New York,NY,,82000,Networking & TartanTRAK,41548,41579,Finance: Financial Analysis,financial services,4
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Business & Systems Integration Analyst,Pittsburgh,PA,,70800,networking,,,Business Analyst,consulting,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,Transportation Engineer,Harrisburg,PA,,51840,Networking,41671,41671,Engineering Other,transportation,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Chemical Engineering,CHE,S14,E,Gas Operations Engineering Rotation,NA,CA,,69960,networking,,,Engineering Other,energy,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Mechanical Engineering,MEG,S14,E,Mechanical Engineer,Pittsburgh,PA,,60000,summer internship,,,Engineering: Mechanical,consumer products,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Chemical Engineering,CHE,S14,E,Contact Engineer,Houston,TX,,96996,Job Fair,,,Engineering Other,energy,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Technical Analyst,New York,NY,,85000,,,,Engineering: Electrical/Computer,financial services,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Chemical Engineering,CHE,S14,E,Field Engineer,Conway,AR,,63000,networking,,,Field Engineering,engineering,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CIV,S14,E,Rotational Program,NA,NA,,64000,Networking,41579,41609,Engineering Other,energy,2
2014,U.S. Citizen,United States,Female,BS,CIT,Mechanical Engineering,MEG,S14,E,Mechanical Engineer,Unknown,NA,,64000,,,,Engineering: Mechanical,manufacturing,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Graduate Engineer,Miami,FL,,60000,networking,,,Engineering,engineering,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Chemical Engineering,CHE,S14,E,Associate Engineer,Hoboken,NJ,,85000,Online Job Listing Site,41671,41699,Engineering,pharmaceuticals,4
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Process Engineer,Midland,MI,,68004,TartanTRAK,,,Engineering Other,manufacturing,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Chemical Engineering,CHE,S14,E,Technial Sales,Vienna,VA,,97000,Job Fair,,,Business Development/Sales,energy,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S14,E,Research and Development Engineer,NA,NA,,72000,Internship,,,Research and Development Engineering,consumer products,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Mechanical Engineering,MEG,F13,E,"Mechanical Engineer, Packaging Development Division",Cincinnati,OH,,72000,summer internship,,,Engineering: Mechanical,consumer products,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Device Engineer,Tyson Corners,VA,,75000,TartanTRAK,,,Engineering: Electrical/Computer,consumer products,1
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Embedded Software Engineer,Cleveland,OH,,68400,Job Fair,,,Engineering: Electrical/Computer,manufacturing,1
2014,Non-US Citizen,India,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Software Engineer,San Francisco,CA,,75000,Tartantrak,,,Engineering: Electrical/Computer,technology,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S15,E,Software Engineer,San Francisco,CA,,105000,TartanTrack,,,Engineering: Electrical/Computer,marketing/communications,3
